titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-209724,JUZGADO de 1a INST E INSTRUCC. 2 - BARBATE,Expediente: 0199/15,Expediente: 0199/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209724&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209724</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1598 0000 06 0199 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>71.711,66 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9949</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>149.812,50 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.996,25 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.490,62 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R4186001046,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R4186001046&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R4186001046</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9626</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>10.858,49 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>10.858,49 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>542,92 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210960,JUZGADO de 1a INSTANCIA 4 - ALGECIRAS,Expediente: 0521/22,Expediente: 0521/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210960&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210960</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1213 0000 06 0521 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>142.553,01 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9392</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>98.343,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.966,86 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.917,15 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R4186001045,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R4186001045&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R4186001045</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9624</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>1.013,58 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>1.013,58 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>100,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>50,67 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R4186001084,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R4186001084&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R4186001084</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9646</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>10.952,44 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>10.952,44 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>547,62 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210342,JUZGADO de 1a INST E INSTRUCC. 3 - LINEA CONCEPCION,Expediente: 0082/22,Expediente: 0082/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210342&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210342</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1267 0000 06 0082 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>94.934,73 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9466</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>95.959,87 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.919,19 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.797,99 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-200538,JUZGADO de 1a INST E INSTRUCC. 3 - CHICLANA DE LA FRONTERA,Expediente: 0578/16,Expediente: 0578/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-200538&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-200538</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1244 0000 06 0578 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>183.452,19 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9432</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>200.537,40 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.010,74 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>10.026,87 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209718,JUZGADO de 1a INST E INSTRUCC. 2 - SANLUCAR BARRAMEDA,Expediente: 1092/17,Expediente: 1092/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209718&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209718</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1291 0000 06 1092 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-03-2023 18:00:00 CET  (ISO: 2023-03-31T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">20-04-2023 18:00:00 CET </strong> (ISO: 2023-04-20T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>86.713,24 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8991</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>98.620,68 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.972,41 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.931,03 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210770 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 4 - SANLUCAR BARRAMEDA,Expediente: 0164/22,Expediente: 0164/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210770&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210770</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2321 0000 06 0164 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>33.712,02 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8783</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208286,JUZGADO de 1a INSTANCIA 1 - ALGECIRAS,Expediente: 1990/15,Expediente: 1990/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208286&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208286</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1200 0000 06 1990 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>293.825,69 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8729</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>391.900,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>391.900,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>7.838,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>19.595,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-205332,JUZGADO de 1a INSTANCIA 2 - ALGECIRAS,Expediente: 0119/17,Expediente: 0119/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-205332&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-205332</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1201 0000 06 0119 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>22.221,19 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8447</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>40.327,91 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>806,55 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.016,39 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208572,JUZGADO de 1a INST E INSTRUCC. 4 - LINEA CONCEPCION,Expediente: 0598/10,Expediente: 0598/10,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208572&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbFoySjJXeHNadWZBMjdvaTZoSU5jZmFDcjNmZ0FqQkZhU1c5dElKK2xZdkZ5YUJqd0FkN084NHdaK1BWVkVyTmdKRVJRRHI5eENib01aTWIxUjVONTVkY0orSVhoSmVFdVlqYWF3VUJzcVdwQi9vSURQT2Z4VGoxYkpadmtnVVlJRXBZaFFzRlRlenRMaWNIaTZrYTQ2eTlBUWt5RkxISzBSM1FmSTFEazIxSzRDRG8xSG9yS213c1dOTG1QRGZzYkpCcVhFQ1BwbXFQRnUrWWhoUFlxZFRqeklsNHpZalNjTHZjM294Y2tmaWpJa0ZqeXUrMDJTbWlmT3BCbUVBM2lXcnlZTHk1TDh0ejZiY3BrLzdYcG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208572</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4980 0000 06 0598 10</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>42.911,13 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8508</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>96.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.920,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.800,00 €</td>
</tr>
</table>"
