titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-RC-2023-1700100123001,XALOC - Xarxa Local de Municipis de la Diputació de Girona - Girona,Estado: Celebrándose - [Conclusión prevista: 27/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 27/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-1700100123001&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-1700100123001</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>8.012,67 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-10083</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>54.670,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>54.670,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>27.335,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>600,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.733,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210434,JUZGADO de 1a INST E INSTRUCC. 3 - SANT FELIU DE GUIXOLS,Expediente: 0315/17,Expediente: 0315/17,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210434&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210434</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1707 0000 10 0315 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>1.886.860,85 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9819</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>81.438,43 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>81.438,43 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>40.719,22 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.628,76 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.071,92 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-207457,JUZGADO de 1a INST E INSTRUCC. 5 - BLANES,Expediente: 4871/18,Expediente: 4871/18,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207457&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207457</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1646 0000 06 4871 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>89.711,26 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9794</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>220.400,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.408,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>11.020,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-205494 (10 lotes),JUZGADO de 1a INSTANCIA 1 - GIRONA,Expediente: 4138/19,Expediente: 4138/19,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-205494&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-205494</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1664 0000 06 4138 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>1.104.622,20 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>10</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9803</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211418,JUZGADO SOCIAL 3 - GIRONA,Expediente: 0557/15,Expediente: 0557/15,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211418&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211418</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1691 0000 64 0557 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>45.027,29 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9840</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.600,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>180,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211406,JUZGADO SOCIAL 3 - GIRONA,Expediente: 0217/21,Expediente: 0217/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211406&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211406</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1691 0000 64 0217 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>21.790,54 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9838</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>16.390,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>819,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211366,JUZGADO de 1a INSTANCIA 2 - GIRONA,Expediente: 0421/21,Expediente: 0421/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211366&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211366</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1674 0000 06 0421 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>197.476,70 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9802</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>291.336,25 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>14.566,81 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210282 (3 lotes),JUZGADO de 1a INST E INSTRUCC. 3 - SANTA COLOMA DE FARNERS,Expediente: 0191/19,Expediente: 0191/19,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210282&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210282</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1698 0000 06 0191 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>414.581,44 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9820</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-207882,JUZGADO de 1a INST E INSTRUCC. 3 - SANTA COLOMA DE FARNERS,Expediente: 0018/14,Expediente: 0018/14,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207882&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207882</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1698 0000 06 0018 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>152.941,20 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9822</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>377.146,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>7.542,92 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>18.857,30 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208154,JUZGADO de 1a INST E INSTRUCC. 2 - SANTA COLOMA DE FARNERS,Expediente: 0081/16,Expediente: 0081/16,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208154&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208154</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1695 0000 06 0081 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>122.280,14 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9821</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>380.620,50 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>7.612,41 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>19.031,02 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210655,JUZGADO de 1a INST E INSTRUCC. 1 - BISBAL,Expediente: 0013/22,Expediente: 0013/22,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210655&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlFiRXFOem5MVVRqV2xNQWo5NFQ5dVZhZkUwWGVqUGlPTHB3UDhBbERwQk5hREJBN0FuK0FVbUhKeCtzUGxjTmp1aG5vaGlQZmhNVHFXNzEyS1B5N1RXTFRMT2tLYXRIc25ML2UxVkxaQ2lnU0QzL1dydEY5NzRIZmtiNHVjZXJ3WXkzMUpaODc2OGFqRW1ZaHRaUE13WlJ2YzFIVVBLQjFGNlhBTU1PbUJtSWlmRVNqNkNiSFhaNFZqNUYxVnlUb1V5REg0MjB2WjhncUZPa2ZFeDQxU2QwdDFSSzNBN01oM1VaYWFlL3FNa29SSmJjQ1lySE1ObDVkTGRjMEd6d3RiVDlSc1pDZXBDblpsT0E0NG5TTm1SekNaM2kvNzQ0cDN3V2JTMVQ1MFU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210655</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1650 0000 06 0013 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>169.106,33 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9792</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>199.470,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>99.735,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.989,40 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>9.973,50 €</td>
</tr>
</table>"
