titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-208250,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0260/16,Expediente: 0260/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208250&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208250</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 3085 06 0260 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>131.287,65 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-10001</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>140.177,40 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.803,56 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.008,87 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210732,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0241/21,Expediente: 0241/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210732&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210732</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 3115 06 0241 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>275.023,45 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9999</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>325.457,83 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.254,59 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>16.272,89 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2020-146703 (8 lotes),UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0040/18,Expediente: 0040/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2020-146703&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2020-146703</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 4208 06 0040 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>1.185.910,81 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>8</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9996</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2022-191054,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0072/20,Expediente: 0072/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-191054&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-191054</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 0895 06 0072 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>51.955,26 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9998</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>210.975,52 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.109,77 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>10.548,77 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208873 (2 lotes),UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0162/21,Expediente: 0162/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208873&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208873</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 3071 06 0162 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>226.285,40 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9997</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208736,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0662/14,Expediente: 0662/14,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208736&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208736</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 3057 06 0662 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>206.123,28 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-10000</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>252.351,75 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.523,53 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>12.617,58 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-185065,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0074/15,Expediente: 0074/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-185065&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-185065</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 3074 06 0074 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>138.108,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-10002</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>143.589,20 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.871,79 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.179,46 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-206798 (2 lotes),UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0404/19,Expediente: 0404/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-206798&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-206798</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 3097 06 0404 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>14-02-2023 18:00:00 CET  (ISO: 2023-02-14T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:13 CET </strong> (ISO: 2023-04-27T18:00:13+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>269.897,27 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-4265</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-207403,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0366/20,Expediente: 0366/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207403&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207403</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 3067 06 0366 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>14-02-2023 18:00:00 CET  (ISO: 2023-02-14T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:02:22 CET </strong> (ISO: 2023-04-27T18:02:22+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>107.873,06 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-4275</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>220.200,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.202,01 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>11.010,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-205376,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0060/20,Expediente: 0060/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-205376&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-205376</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 2719 06 0060 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>14-02-2023 18:00:00 CET  (ISO: 2023-02-14T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:02:32 CET </strong> (ISO: 2023-04-27T18:02:32+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>82.213,10 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-4270</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>104.400,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.088,01 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.220,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208172,UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,Expediente: 0333/21,Expediente: 0333/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208172&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUeGdKRXlhNVdJdGZwUC9ZMllOTGN3Nytmd0RjbklnOEU2RU9GMnJ4V2JCSmZjV1Y5WDRvbWl3Zm1LTEFCcEg3WlREdUNrNU0vS3JVaVVRcHNoMDM5Y0hLNWp6eUVNZnh0N1Z5K3N3V0oyRjQ9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208172</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3728 0895 06 0333 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>14-02-2023 18:00:00 CET  (ISO: 2023-02-14T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:03:22 CET </strong> (ISO: 2023-04-27T18:03:22+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>123.569,26 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-4264</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>227.874,80 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.278,76 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>11.393,74 €</td>
</tr>
</table>"
