titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-211043 (2 lotes),JUZGADO de 1a INSTANCIA 2 - CORDOBA,Expediente: 1523/21,Expediente: 1523/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211043&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211043</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1437 0000 05 1523 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>242.702,45 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9957</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2022-203104,JUZGADO de 1a INSTANCIA 9 - CORDOBA,Expediente: 0493/16,Expediente: 0493/16,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-203104&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-203104</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>5150 0000 05 0493 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>113.360,87 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9958</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>120.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.400,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.000,00 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2022-1400100122039,Instituto de Cooperación con la Hacienda Local de la Diputación de Córdoba - Córdoba,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2022-1400100122039&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2022-1400100122039</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>56.646,36 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9728</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>354.912,56 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>354.912,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>110.000,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>15.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>17.745,63 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2022-1400100122038,Instituto de Cooperación con la Hacienda Local de la Diputación de Córdoba - Córdoba,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2022-1400100122038&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2022-1400100122038</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>15.635,81 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9727</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>35.787,63 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>56.887,63 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>10.000,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.539,38 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211271,JUZGADO de 1a INST E INSTRUCC. 1 - LUCENA,Expediente: 0511/19,Expediente: 0511/19,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211271&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211271</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1466 0000 05 0511 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>36.434,74 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9471</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>660.315,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>660.315,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>13.206,30 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>33.015,75 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210958,JUZGADO de 1a INSTANCIA 6 - CORDOBA,Expediente: 1468/11,Expediente: 1468/11,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210958&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210958</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1427 0000 05 1468 11</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>145.979,83 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9434</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>111.986,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.239,72 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.599,30 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210939,JUZGADO de 1a INSTANCIA 6 - CORDOBA,Expediente: 0634/21,Expediente: 0634/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210939&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210939</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1427 0000 06 0634 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>27.623,54 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9433</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>74.354,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>74.354,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.487,08 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.717,70 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R4186001652,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R4186001652&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R4186001652</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9681</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>38.713,86 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>38.713,86 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.935,69 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2022-1400100122040 (3 lotes),Instituto de Cooperación con la Hacienda Local de la Diputación de Córdoba - Córdoba,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2022-1400100122040&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2022-1400100122040</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9729</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R4186001031,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R4186001031&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R4186001031</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9609</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>2.142,68 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>2.142,68 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>107,13 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-1400100122037,Instituto de Cooperación con la Hacienda Local de la Diputación de Córdoba - Córdoba,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-1400100122037&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TlpIT0M2bTB3ejA2QzJUaHJCcldtUGErM3Evdm50bXZucGRMT2pwNjVRREZMRUdmUlBSV0xGRkxjaGRDa1BRZGZKWXhQWGQ2VWMybEJMUW5JakZJc2F1VWxFOVdmMmZRY2tuOE5JUWdpU2FVSytXemV3bzJzTjY5d1IzR1I4ME52aWhnL0lMcEhYWXV0QnJSYWpyaXdqNkVZTWliL01nejhDSG5kd3NYa2d0Q0gvZGt4eVd1Ry9XandFaXViOXlJeUMxdE41VG13SnZRelBXbVVNUjFwRXpTdHhrZ1ltSFZPMGk2VGdsTVp0WUptdk8rdlpTUTJOMlhLMEE0RkE2UjF4c2lvNDBveSszZjFSM3BMM013TkxXcGtrdkhZQjFYYXF2Q1Y1S2RnNDU,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-1400100122037</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>14.924,78 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9726</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>49.500,82 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>219.962,46 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>15.000,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.475,04 €</td>
</tr>
</table>"
